ID;Departement;Column5;Longitude;Latitude;LonGRD;LatGRD;LonDMS;LatDMS
31216;77;saint germain laxis;2.7;48.5833;416;53980;24240;483454
31217;77;sept sorts;3.1;48.9333;852;54375;30611;485616
31218;77;la celle sur morin;2.96667;48.8167;699;54229;25757;484823
31219;77;gouaix;3.28333;48.4833;1063;53871;31737;482901
31220;77;la haute maison;3;48.8833;738;54314;30004;485256
31221;77;chauconin neufmontiers;2.83917;48.9759;558;54418;25021;485833
31222;77;pontcarre;2.7;48.8;410;54219;24219;484748
31223;77;ocquerre;3.06667;49.0333;801;54487;30327;490219
31224;77;touquin;3.01667;48.7333;752;54151;30047;484409
31225;77;mauregard;2.58333;49.0333;272;54482;23452;490203
31226;77;fay les nemours;2.66667;48.2333;375;53590;24026;481353
31227;77;beaumont du gatinais;2.47695;48.1381;156;53487;22837;480817
31228;77;chalifert;2.76667;48.8833;485;54321;24623;485319
31229;77;obsonville;2.56667;48.2167;249;53575;23339;481303
31230;77;montceaux les provins;3.43333;48.6833;1223;54104;32614;484138
31231;77;nanteuil les meaux;2.9;48.9333;623;54366;25349;485547
31232;77;blennes;3.01667;48.25;763;53620;30125;481528
31233;77;montceaux les meaux;2.98333;48.95;723;54381;25914;485634
31234;77;tigeaux;2.91667;48.8333;627;54252;25404;484936
31235;77;noisy rudignon;2.93333;48.3333;659;53706;25548;482009
31236;77;pommeuse;3.01667;48.8167;755;54240;30057;484857
31237;77;voulx;2.96667;48.2833;702;53645;25806;481651
31238;77;beton bazoches;3.25;48.7;1008;54113;31439;484205
31239;77;saint germain laval;3;48.4;734;53777;25948;482357
31240;77;coutevroult;2.85;48.8667;573;54292;25108;485145
31241;77;chatenoy;2.63333;48.2333;322;53593;23734;481400
31242;77;la chapelle moutils;3.39223;48.7748;1173;54194;32332;484629
31243;77;la tretoire;3.25;48.8833;1017;54304;31505;485225
31244;77;grez sur loing;2.7;48.3167;392;53684;24120;481855
31245;77;doue;3.15;48.8667;918;54296;30946;485158
31246;77;cely;2.53167;48.4592;217;53844;23154;482733
31247;77;magny le hongre;2.81667;48.8667;530;54292;24849;485147
31248;77;chevry en sereine;2.95;48.25;674;53615;25635;481513
31249;77;lieusaint;2.55;48.6333;236;54036;23255;483756
31250;77;gretz armainvilliers;2.73333;48.7333;442;54157;24403;484428
31251;77;la genevraye;2.75;48.3167;455;53690;24447;481914
31252;77;armentieres en brie;3.01667;48.9833;762;54421;30120;485844
31253;77;meigneux;3.1;48.5167;852;53902;30613;483043
31254;77;maincy;2.7;48.55;406;53944;24207;483259
31255;77;trilport;2.95;48.95;681;54397;25657;485726
31256;77;cocherel;3.1;49.0167;852;54467;30611;490112
31257;77;beauvoir;2.86667;48.6333;587;54050;25152;483841
31258;77;vignely;2.81667;48.9333;525;54367;24833;485548
31259;77;dhuisy;3.16667;49.0333;916;54487;30940;490219
31260;77;perthes;2.555;48.4775;243;53864;23318;482839
31261;77;chambry;2.9;49;620;54443;25341;485955
31262;77;vernou la celle sur seine;2.84639;48.3878;567;53764;25047;482316
31263;77;saint thibault des vignes;2.68333;48.8667;391;54299;24119;485209
31264;77;sammeron;3.08333;48.95;828;54387;30455;485652
31265;77;voinsles;3;48.6833;742;54101;30017;484127
31266;77;paroy;3.2;48.4833;958;53866;31156;482847
31267;77;saint hilliers;3.26667;48.6167;1022;54023;31524;483716
31268;77;gravon;3.11667;48.4;871;53777;30712;482358
31269;77;mortery;3.25;48.6;1026;53999;31536;483556
31270;77;villemer;2.83333;48.3;543;53668;24931;481804
31271;77;quincy voisins;2.88333;48.9;597;54333;25225;485358
31272;77;coulommes;2.93333;48.9;658;54324;25544;485329
31273;77;chevry cossigny;2.66667;48.7167;362;54139;23945;484331
